,Date / Time,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2],sun_altitude [deg],sun_azimuth [deg],Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2]
17,2021-07-24 07:25:00,22.4,57.8,3.5,34,196,16.950505352508866,78.2448628731172,20.0,72.7,2.3,24,209
18,2021-07-24 07:30:00,22.4,58.7,2.1,23,207,17.87742004345028,79.00406185110283,20.1,72.3,2.1,17,225
19,2021-07-24 07:35:00,22.5,59.1,1.5,31,218,18.80672907347535,79.76401053528392,20.2,71.2,2.3,11,241
20,2021-07-24 07:40:00,22.7,58.6,0.7,42,230,19.73827163810913,80.5251269174934,20.3,71.0,2.3,12,254
21,2021-07-24 07:45:00,22.8,56.7,0.8,57,243,20.671887022463512,81.28784045696341,20.3,70.3,2.1,9,267
22,2021-07-24 07:50:00,22.7,57.9,1.2,17,256,21.607414286739708,82.0525930773392,20.5,70.6,1.4,15,279
23,2021-07-24 07:55:00,22.8,58.5,1.6,37,269,22.54469193759402,82.81984023864663,20.7,69.4,1.6,12,293
24,2021-07-24 08:00:00,22.9,58.8,1.5,28,282,23.48355758374119,83.59005208971632,20.9,68.9,1.7,12,309
25,2021-07-24 08:05:00,23.1,57.8,1.3,50,297,24.42384757398851,84.36371470712257,21.0,68.1,1.6,10,325
26,2021-07-24 08:10:00,23.1,56.7,1.7,43,311,25.365396615686752,85.1413314272507,21.1,67.5,2.0,6,339
27,2021-07-24 08:15:00,23.0,56.0,2.4,55,326,26.308037371454734,85.92342427879346,21.4,66.7,1.3,3,354
28,2021-07-24 08:20:00,23.0,56.0,2.3,53,339,27.251600031651748,86.71053552352116,21.5,65.8,1.8,1,370
29,2021-07-24 08:25:00,23.2,54.6,2.5,41,353,28.195911859996098,87.50322931400208,21.7,64.6,1.0,18,385
30,2021-07-24 08:30:00,23.3,54.9,2.1,30,366,29.140796709292356,88.30209347755236,21.8,64.1,1.6,358,401
31,2021-07-24 08:35:00,23.6,53.3,1.4,50,379,30.086074503994812,89.10774143653522,21.8,65.0,1.6,15,416
32,2021-07-24 08:40:00,24.0,52.4,0.9,69,392,31.031560685952137,89.92081427587887,22.0,64.6,1.9,9,429
33,2021-07-24 08:45:00,24.1,51.6,0.8,71,405,31.97706561934316,90.74198296953149,22.0,64.9,2.0,10,444
34,2021-07-24 08:50:00,24.1,51.3,0.8,77,419,32.92239395027378,91.57195077831179,22.2,64.3,1.9,10,460
35,2021-07-24 08:55:00,23.9,51.5,0.7,139,432,33.86734391618274,92.41145583252116,22.6,62.9,1.5,358,475
36,2021-07-24 09:00:00,24.4,49.9,0.6,70,445,34.81170659952242,93.26127391335106,22.8,62.1,1.5,353,489
37,2021-07-24 09:05:00,24.3,49.4,1.0,51,458,35.75526511970744,94.12222144790671,22.9,61.6,1.7,358,504
38,2021-07-24 09:10:00,24.3,49.9,1.6,55,470,36.69779375667841,94.99515873325798,22.8,60.7,2.3,4,517
39,2021-07-24 09:15:00,24.5,49.7,1.2,52,483,37.639056998601184,95.88099340530961,23.0,59.8,1.5,359,531
40,2021-07-24 09:20:00,24.2,49.9,1.7,72,494,38.5788085056341,96.78068416860468,23.4,58.7,1.5,20,546
41,2021-07-24 09:25:00,24.0,52.4,1.7,65,505,39.51678998070584,97.69524480297986,23.8,59.4,1.3,32,560
42,2021-07-24 09:30:00,24.2,51.5,1.5,77,518,40.45272993736778,98.6257484624728,24.2,56.5,1.6,42,573
43,2021-07-24 09:35:00,24.5,51.1,1.4,121,529,41.3863423538313,99.57333228074246,23.9,55.3,2.0,37,587
44,2021-07-24 09:40:00,24.7,51.0,1.1,95,540,42.31732520118619,100.53920229531582,24.0,56.2,1.9,35,600
45,2021-07-24 09:45:00,24.4,51.4,1.5,116,550,43.24535883266596,101.5246386999822,24.2,56.2,2.0,1,611
46,2021-07-24 09:50:00,24.3,51.2,1.7,104,561,44.17010421971685,102.53100143039168,24.2,54.7,1.6,29,624
47,2021-07-24 09:55:00,24.5,51.0,1.8,85,573,45.09120101929344,103.55973608174702,24.1,53.2,2.2,27,636
48,2021-07-24 10:00:00,24.6,50.3,1.5,90,583,46.008265455705654,104.61238014927399,24.4,53.0,2.5,12,647
49,2021-07-24 10:05:00,24.4,50.7,1.7,102,595,46.9208879990977,105.69056957092575,24.2,53.1,2.7,8,656
50,2021-07-24 10:10:00,25.3,49.0,0.9,88,606,47.828630821574606,106.79604553704915,24.7,52.9,1.6,334,664
51,2021-07-24 10:15:00,24.8,49.6,2.3,95,614,48.73102501115704,107.93066151245158,24.7,53.1,2.6,322,675
52,2021-07-24 10:20:00,24.5,51.5,1.6,99,623,49.62756752312947,109.09639039133528,24.6,52.9,2.2,315,691
53,2021-07-24 10:25:00,24.8,50.0,0.9,91,633,50.51771784829149,110.2953316736252,25.0,53.3,1.2,305,704
54,2021-07-24 10:30:00,25.4,48.5,1.0,93,644,51.4008943781686,111.52971851055248,25.3,52.4,1.0,359,465
55,2021-07-24 10:35:00,24.6,47.1,2.4,100,654,52.276470448876765,112.80192441633007,25.1,52.0,1.5,45,655
56,2021-07-24 10:40:00,25.2,46.8,1.4,113,669,53.14377004811106,114.11446937883102,25.0,52.3,1.8,44,717
57,2021-07-24 10:45:00,24.8,47.4,2.2,53,679,54.00206317449763,115.47002502339978,25.0,52.3,2.1,29,765
58,2021-07-24 10:50:00,24.9,48.0,2.3,87,684,54.85056084557412,116.87141838737499,25.1,53.1,2.0,343,768
59,2021-07-24 10:55:00,25.3,48.4,1.6,94,692,55.68840976082642,118.32163374622773,25.1,52.2,1.1,303,775
60,2021-07-24 11:00:00,25.2,48.5,2.3,69,704,56.51468664040364,119.82381179308437,25.2,51.4,1.4,294,787
61,2021-07-24 11:05:00,24.8,49.3,2.5,62,706,57.32839227942955,121.3812453104218,25.7,51.4,1.0,307,803
62,2021-07-24 11:10:00,25.1,49.6,1.7,61,698,58.12844538331361,122.99737028546994,25.6,50.8,1.3,87,822
63,2021-07-24 11:15:00,25.3,49.2,2.2,74,721,58.913676282931384,124.67575121230423,25.9,47.8,1.8,74,840
64,2021-07-24 11:20:00,25.5,49.0,1.8,84,730,59.68282067090815,126.42005909913016,25.8,49.1,1.2,107,833
65,2021-07-24 11:25:00,25.0,49.1,1.7,31,737,60.43451355340897,128.23404047138337,25.7,49.2,1.1,227,838
66,2021-07-24 11:30:00,25.3,49.7,1.1,355,746,61.1672836768396,130.1214754496481,26.1,49.3,2.1,66,872
67,2021-07-24 11:35:00,25.4,48.6,1.1,16,755,61.8795487659881,132.08612281637028,26.3,52.3,2.2,108,623
68,2021-07-24 11:40:00,25.3,48.0,1.0,328,765,62.569611999333844,134.13164991166704,26.1,51.3,1.9,99,330
69,2021-07-24 11:45:00,26.1,45.9,1.5,261,778,63.235660245748115,136.2615452760539,25.7,51.9,2.2,108,542
70,2021-07-24 11:50:00,26.3,44.3,0.8,272,771,63.87576468988448,138.4790122639131,25.7,52.0,2.5,87,618
71,2021-07-24 11:55:00,26.5,44.5,0.8,109,798,64.48788457260456,140.7868424780219,26.5,50.9,2.1,105,449
72,2021-07-24 12:00:00,26.3,44.1,1.3,305,802,65.06987485452713,143.18726892169008,26.6,49.5,2.2,131,498
73,2021-07-24 12:05:00,26.2,44.1,1.1,288,815,65.61949865672102,145.68180032210108,26.7,48.8,2.3,132,828
74,2021-07-24 12:10:00,26.6,43.8,0.7,243,813,66.13444531919583,148.27104020572173,26.1,49.1,2.1,73,861
75,2021-07-24 12:15:00,26.2,44.4,2.3,349,804,66.6123548167927,150.9544969913374,26.2,50.0,2.3,74,374
76,2021-07-24 12:20:00,25.9,46.0,1.9,326,811,67.05084905552796,153.7303944863323,25.7,50.4,1.9,47,404
77,2021-07-24 12:25:00,26.5,44.9,0.8,338,807,67.44757021622209,156.59549544431525,25.9,50.5,0.9,21,762
78,2021-07-24 12:30:00,26.5,42.9,1.8,339,832,67.80022580621782,159.54495380287,27.0,48.8,2.4,74,960
79,2021-07-24 12:35:00,26.4,43.5,1.5,334,840,68.10663943650462,162.57221323106776,27.8,46.6,2.0,90,837
80,2021-07-24 12:40:00,26.7,45.2,2.8,17,596,68.36480560488337,165.66896994079136,26.3,47.8,2.8,67,243
81,2021-07-24 12:45:00,26.3,46.0,2.9,31,638,68.57294601676656,168.82521566712484,26.7,48.7,2.0,114,220
82,2021-07-24 12:50:00,26.2,46.7,3.0,51,759,68.72956432752572,172.02937187770675,26.1,48.2,1.2,109,185
83,2021-07-24 12:55:00,26.3,46.2,2.6,47,757,68.83349577451806,175.2685186913457,26.4,48.9,1.6,93,554
84,2021-07-24 13:00:00,26.7,44.8,1.9,338,763,68.8839481043414,178.52871238526492,27.4,47.2,2.2,110,781
85,2021-07-24 13:05:00,26.5,45.4,2.2,318,805,68.88053056914015,181.79537510104106,27.3,45.8,1.9,132,577
86,2021-07-24 13:10:00,26.3,44.9,1.8,347,839,68.8232685699146,185.0537312017619,26.5,46.8,1.4,134,449
87,2021-07-24 13:15:00,27.6,42.3,0.7,277,837,68.71260268218722,188.28925847679147,26.5,47.4,1.2,125,368
88,2021-07-24 13:20:00,27.4,40.2,1.9,28,834,68.54937214926248,191.48812034660662,26.7,47.0,2.1,133,304
89,2021-07-24 13:25:00,27.1,39.2,2.9,50,828,68.33478426504006,194.63754783128147,26.8,46.4,1.1,59,491
90,2021-07-24 13:30:00,27.6,40.3,1.6,110,546,68.0703721893933,197.72614674755366,26.6,46.7,1.9,99,691
91,2021-07-24 13:35:00,27.4,42.2,0.9,133,195,67.75794449201294,200.74411499734103,26.9,46.6,1.4,110,392
92,2021-07-24 13:40:00,27.4,42.3,1.3,184,347,67.39953003364462,203.68336508759154,26.8,46.2,2.8,82,532
93,2021-07-24 13:45:00,27.2,41.8,0.8,44,808,66.9973216819514,206.5375564335464,27.4,46.0,2.9,104,670
94,2021-07-24 13:50:00,27.8,40.1,0.9,160,679,66.55362190778408,209.30204926233387,27.4,44.7,3.2,102,825
95,2021-07-24 13:55:00,27.8,39.7,1.3,136,298,66.07079264046813,211.97379642357183,27.0,45.2,2.3,65,881
96,2021-07-24 14:00:00,27.9,39.8,0.7,162,626,65.55121100771919,214.55119113731465,27.0,45.3,2.0,52,582
97,2021-07-24 14:05:00,27.5,39.9,1.9,106,273,64.99723185703013,217.03388813587682,26.6,46.3,1.9,57,255
98,2021-07-24 14:10:00,27.6,40.4,1.3,134,187,64.4111573272767,219.4226134879799,27.0,46.0,2.7,116,211
99,2021-07-24 14:15:00,27.5,39.9,1.9,153,207,63.79521325166124,221.71897536303538,27.2,44.6,2.8,127,498
100,2021-07-24 14:20:00,27.4,41.9,2.3,145,294,63.15153183518912,223.9252847180235,26.5,44.8,1.9,184,688
101,2021-07-24 14:25:00,27.5,43.0,1.5,145,369,62.48213984893043,226.0443918120176,27.0,44.8,2.4,152,793
102,2021-07-24 14:30:00,27.3,43.5,1.2,93,242,61.7889514948208,228.0795418336333,27.5,42.8,2.3,98,848
103,2021-07-24 14:35:00,27.5,44.6,1.3,163,246,61.07376509005707,230.03425087148918,28.2,42.2,2.0,117,843
104,2021-07-24 14:40:00,27.2,45.2,1.8,146,464,60.33826277168703,231.91220196833885,28.1,40.5,1.6,140,743
105,2021-07-24 14:45:00,26.8,47.0,3.1,147,300,59.58401250679118,233.71716001059698,28.0,40.7,1.6,107,767
106,2021-07-24 14:50:00,27.0,48.0,2.3,161,204,58.812471793748394,235.45290362367163,28.3,40.4,1.6,175,738
107,2021-07-24 14:55:00,26.5,49.8,4.1,148,158,58.02499254294993,237.12317197065934,28.4,39.6,2.1,82,724
108,2021-07-24 15:00:00,26.1,51.1,4.1,139,140,57.222826722911044,238.73162429696077,28.0,40.3,3.0,75,725
109,2021-07-24 15:05:00,26.3,51.1,2.5,161,128,56.40713244543168,240.28181015140336,28.1,40.2,1.7,92,558
110,2021-07-24 15:10:00,26.3,50.9,3.0,158,219,55.57898023913133,241.77714838735426,28.3,40.3,2.9,91,216
111,2021-07-24 15:15:00,26.6,50.5,3.1,154,584,54.73935932418566,243.2209132622355,28.0,40.7,3.1,114,236
112,2021-07-24 15:20:00,26.7,49.7,2.0,132,448,53.889183752718296,244.61622618250036,27.9,41.8,2.8,105,229
113,2021-07-24 15:25:00,27.2,46.4,1.4,175,725,53.029298320692924,245.9660518637472,27.3,44.4,3.7,162,511
114,2021-07-24 15:30:00,27.3,45.4,3.8,202,349,52.16048418934752,247.2731978821431,27.1,47.3,4.5,170,563
115,2021-07-24 15:35:00,26.8,47.6,2.4,209,511,51.283464178974214,248.54031677744857,26.9,47.7,3.5,149,292
116,2021-07-24 15:40:00,27.0,47.2,3.2,142,658,50.39890771642773,249.7699100279421,26.9,48.3,3.0,166,371
117,2021-07-24 15:45:00,27.1,47.6,3.2,163,565,49.50743543133807,250.96433335387613,27.3,47.4,3.5,146,646
118,2021-07-24 15:50:00,26.6,48.3,3.5,184,181,48.60962340582248,252.12580291997344,27.2,47.8,3.2,157,491
119,2021-07-24 15:55:00,26.8,46.7,3.4,196,605,47.706007089122394,253.25640210185992,27.2,47.3,2.6,165,621
120,2021-07-24 16:00:00,27.0,46.1,2.7,209,620,46.79708489310533,254.3580885580274,27.2,46.5,2.8,164,335
121,2021-07-24 16:05:00,27.2,44.6,1.9,208,456,45.883321487217486,255.43270141111753,27.0,47.4,3.7,129,195
122,2021-07-24 16:10:00,27.0,45.0,2.4,200,439,44.96515081293121,256.48196839198005,27.0,47.4,3.1,144,239
123,2021-07-24 16:15:00,26.9,45.0,2.9,196,498,44.042978838184474,257.50751283944743,26.7,47.5,4.0,173,246
124,2021-07-24 16:20:00,27.1,44.3,2.2,202,359,43.117186072192126,258.51086047971296,26.6,47.3,3.5,168,236
125,2021-07-24 16:25:00,27.0,44.0,2.1,176,303,42.18812986034909,259.4934459334712,26.9,47.7,2.7,145,204
126,2021-07-24 16:30:00,27.1,44.5,2.3,168,162,41.25614647810115,260.4566189175486,27.1,46.4,2.9,128,251
127,2021-07-24 16:35:00,27.0,44.8,2.2,156,365,40.32155304151265,261.40165012210826,26.7,46.5,3.7,177,252
128,2021-07-24 16:40:00,26.9,45.5,2.0,176,173,39.384649251110844,262.32973675523743,26.8,46.8,3.1,163,235
129,2021-07-24 16:45:00,26.7,46.1,2.0,137,138,38.44571898437301,263.2420077547043,26.8,46.9,2.0,160,159
130,2021-07-24 16:50:00,26.3,46.4,3.6,149,139,37.50503175098047,264.1395286725602,26.8,46.5,3.1,176,138
131,2021-07-24 16:55:00,25.9,47.2,4.0,147,145,36.562844023837414,265.02330624232434,26.7,46.8,2.2,141,134
132,2021-07-24 17:00:00,25.9,47.6,2.3,165,170,35.619400457690276,265.8942926413791,26.6,47.2,3.8,168,132
133,2021-07-24 17:05:00,26.1,47.3,2.2,154,173,34.67493500612651,266.753389463028,26.6,47.5,2.8,162,163
134,2021-07-24 17:10:00,25.8,47.6,2.3,146,174,33.72967194678357,267.6014514136819,26.4,48.7,3.4,167,150
135,2021-07-24 17:15:00,25.5,48.7,4.1,146,161,32.78382682367075,268.43928975117353,26.3,49.8,3.0,163,132
136,2021-07-24 17:20:00,25.5,49.0,2.4,178,154,31.837607314635424,269.26767548026476,26.3,50.1,3.5,166,122
137,2021-07-24 17:25:00,25.7,47.5,1.5,159,174,30.89121403132091,270.08734232110965,26.0,50.0,4.0,168,146
138,2021-07-24 17:30:00,25.9,46.7,1.9,169,301,29.944841258158082,270.89898946606434,26.0,50.1,3.1,170,156
139,2021-07-24 17:35:00,25.9,46.6,2.5,173,283,28.998677636420226,271.70328413948914,25.9,50.1,3.1,165,191
140,2021-07-24 17:40:00,25.8,47.7,2.2,164,321,28.052906798680485,272.50086397459955,26.0,49.5,3.6,182,296
141,2021-07-24 17:45:00,25.7,48.3,3.2,143,287,27.10770795859306,273.292339220528,25.7,50.3,4.4,169,323
142,2021-07-24 17:50:00,25.5,49.3,2.8,157,224,26.163256460355992,274.07829479205117,25.6,50.4,4.0,152,300
143,2021-07-24 17:55:00,25.4,49.0,2.0,161,130,25.219724291876055,274.85929217354504,25.7,49.5,3.2,159,192
144,2021-07-24 18:00:00,25.2,48.9,3.2,148,109,24.27728056521449,275.63587118796545,25.5,48.7,4.0,161,162
145,2021-07-24 18:05:00,25.2,49.7,2.3,144,96,23.336091967580675,276.4085516408503,25.5,48.7,3.9,171,142
146,2021-07-24 18:10:00,25.3,49.3,2.3,165,117,22.396323185786397,277.17783484861735,25.4,49.1,4.5,182,150
147,2021-07-24 18:15:00,25.4,49.1,1.9,165,131,21.458137306871635,277.94420505962626,25.3,50.7,3.8,179,157
148,2021-07-24 18:20:00,25.3,49.2,2.3,155,107,20.521696197260592,278.7081307758935,25.1,50.9,4.2,168,165
149,2021-07-24 18:25:00,25.1,49.5,2.7,178,108,19.587160862667464,279.4700659825927,25.1,50.0,4.5,162,138
150,2021-07-24 18:30:00,25.1,48.3,3.0,178,113,18.65469179069155,280.23045129193986,25.1,49.2,4.8,162,113
151,2021-07-24 18:35:00,25.0,46.8,2.4,156,102,17.72444927790589,280.98971500743636,25.2,49.2,4.3,165,109
152,2021-07-24 18:40:00,25.2,46.2,2.6,176,99,16.796593743039697,281.7482741139137,25.1,49.9,4.0,161,110
153,2021-07-24 18:45:00,25.1,46.2,2.8,163,92,15.871286027706399,282.5065351983323,25.2,49.7,3.0,171,121
154,2021-07-24 18:50:00,25.1,46.3,3.1,172,119,14.948687686011166,283.2648953057625,25.2,49.8,3.0,157,111
155,2021-07-24 18:55:00,25.2,46.2,1.7,148,138,14.028961264168164,284.0237427346043,25.0,50.1,3.5,158,105
156,2021-07-24 19:00:00,25.3,45.8,2.0,160,119,13.112270571247421,284.78345777459026,25.0,49.8,2.8,144,115
157,2021-07-24 19:05:00,25.3,45.9,1.6,161,125,12.198780941940113,285.5444133907992,25.2,49.1,2.4,164,169
158,2021-07-24 19:10:00,25.3,45.7,1.5,156,124,11.288659492215238,286.30697585648994,25.4,47.9,3.3,168,142
159,2021-07-24 19:15:00,25.3,45.9,2.6,173,103,10.382075368582335,287.0715053372355,25.1,48.0,3.7,164,93
160,2021-07-24 19:20:00,25.2,46.3,2.4,171,69,9.479199991634875,287.83835642847333,25.1,47.9,3.3,159,71
161,2021-07-24 19:25:00,25.2,46.1,1.3,120,53,8.580207294378992,288.60787864834464,25.0,48.3,4.5,177,57
162,2021-07-24 19:30:00,25.1,46.1,2.4,177,38,7.685273955875867,289.38041688728055,24.9,48.7,4.0,178,44
163,2021-07-24 19:35:00,25.0,46.6,2.0,164,27,6.7945796305143045,290.1563118156442,24.9,49.1,3.4,187,34
164,2021-07-24 19:40:00,25.0,46.8,2.2,168,21,5.908307173264468,290.93590025033694,24.9,49.0,3.5,184,24
165,2021-07-24 19:45:00,24.9,47.3,3.0,167,18,5.026642861099097,291.71951548110235,24.8,49.0,3.3,173,19
166,2021-07-24 19:50:00,24.8,48.0,2.4,184,19,4.149776610719959,292.50748755698174,24.9,48.7,3.8,168,17
167,2021-07-24 19:55:00,24.8,48.0,2.0,182,18,3.277902192637278,293.30014353312384,24.9,47.3,4.1,171,16
168,2021-07-24 20:00:00,24.6,48.1,3.0,169,14,2.411217441578829,294.09780767792466,24.9,47.4,3.6,162,13
